date,tree_type,class_value,latitude,longitude
2024-01-01,Black Cottonwood,2,44.9490367,-123.0442415
2024-01-01,Urban Street Tree,8,44.9490368,-123.043988
2024-01-01,Black Cottonwood,2,44.9490369,-123.0437345
2024-01-01,Black Cottonwood,2,44.949037,-123.0434809
2024-01-01,Black Cottonwood,2,44.9490371,-123.0432274
2024-01-01,Black Cottonwood,2,44.9490372,-123.0429739
2024-01-01,Corylus avellana,4,44.9490373,-123.0427203
2024-01-01,Urban Street Tree,8,44.9490374,-123.0424668
2024-01-01,Urban Street Tree,8,44.9490375,-123.0422133
2024-01-01,Urban Street Tree,8,44.9490399,-123.0351143
2024-01-01,Urban Street Tree,8,44.9490399,-123.0348608
2024-01-01,Urban Street Tree,8,44.9488567,-123.0442414
2024-01-01,Urban Street Tree,8,44.9488568,-123.0439879
2024-01-01,Black Cottonwood,2,44.9488568,-123.0437343
2024-01-01,Black Cottonwood,2,44.9488569,-123.0434808
2024-01-01,Black Cottonwood,2,44.948857,-123.0432273
2024-01-01,Black Cottonwood,2,44.9488571,-123.0429737
2024-01-01,Urban Street Tree,8,44.9488572,-123.0427202
2024-01-01,Urban Street Tree,8,44.9488573,-123.0424667
2024-01-01,Urban Street Tree,8,44.9488597,-123.0353678
2024-01-01,Urban Street Tree,8,44.9488598,-123.0351142
2024-01-01,Urban Street Tree,8,44.9488599,-123.0348607
2024-01-01,Urban Street Tree,8,44.9486765,-123.0444948
2024-01-01,Urban Street Tree,8,44.9486766,-123.0442413
2024-01-01,Urban Street Tree,8,44.9486767,-123.0439877
2024-01-01,Black Cottonwood,2,44.9486768,-123.0437342
2024-01-01,Black Cottonwood,2,44.9486769,-123.0434807
2024-01-01,Black Cottonwood,2,44.948677,-123.0432271
2024-01-01,Oregon White Oak,6,44.9486771,-123.0429736
2024-01-01,Urban Street Tree,8,44.9486772,-123.0427201
2024-01-01,Urban Street Tree,8,44.9486773,-123.0424665
2024-01-01,Urban Street Tree,8,44.9486796,-123.0356212
2024-01-01,Urban Street Tree,8,44.9486797,-123.0353677
2024-01-01,Urban Street Tree,8,44.9486798,-123.0351141
2024-01-01,Urban Street Tree,8,44.9486799,-123.0348606
2024-01-01,Urban Street Tree,8,44.9484967,-123.0439876
2024-01-01,Black Cottonwood,2,44.9484968,-123.0437341
2024-01-01,Black Cottonwood,2,44.9484969,-123.0434805
2024-01-01,Black Cottonwood,2,44.948497,-123.043227
2024-01-01,Corylus avellana,4,44.9484971,-123.0429735
2024-01-01,Oregon Ash,5,44.9484972,-123.0424664
2024-01-01,Urban Street Tree,8,44.9484982,-123.0396776
2024-01-01,Urban Street Tree,8,44.9484988,-123.0381564
2024-01-01,Urban Street Tree,8,44.9484997,-123.0353676
2024-01-01,Urban Street Tree,8,44.9484997,-123.035114
2024-01-01,Urban Street Tree,8,44.9483165,-123.044241
2024-01-01,Urban Street Tree,8,44.9483166,-123.0439875
2024-01-01,Black Cottonwood,2,44.9483167,-123.0437339
2024-01-01,Black Cottonwood,2,44.9483168,-123.0434804
2024-01-01,Black Cottonwood,2,44.9483169,-123.0432269
2024-01-01,Corylus avellana,4,44.948317,-123.0429733
2024-01-01,Urban Street Tree,8,44.9483181,-123.039931
2024-01-01,Urban Street Tree,8,44.9483187,-123.0381563
2024-01-01,Urban Street Tree,8,44.9483195,-123.035621
2024-01-01,Urban Street Tree,8,44.9483196,-123.0353674
2024-01-01,Urban Street Tree,8,44.9481364,-123.0444944
2024-01-01,Urban Street Tree,8,44.9481365,-123.0442409
2024-01-01,Black Cottonwood,2,44.9481366,-123.0439873
2024-01-01,Black Cottonwood,2,44.9481367,-123.0437338
2024-01-01,Black Cottonwood,2,44.9481368,-123.0434803
2024-01-01,Bigleaf Maple,1,44.9481369,-123.0432267
2024-01-01,Urban Street Tree,8,44.948137,-123.0429732
2024-01-01,Bigleaf Maple,1,44.9481371,-123.0427197
2024-01-01,Urban Street Tree,8,44.9481381,-123.0399309
2024-01-01,Urban Street Tree,8,44.9481395,-123.0356209
2024-01-01,Urban Street Tree,8,44.9481396,-123.0353673
2024-01-01,Urban Street Tree,8,44.94814,-123.0340997
2024-01-01,Urban Street Tree,8,44.9479562,-123.0450013
2024-01-01,Urban Street Tree,8,44.9479564,-123.0444942
2024-01-01,Black Cottonwood,2,44.9479565,-123.0442407
2024-01-01,Black Cottonwood,2,44.9479565,-123.0439872
2024-01-01,Black Cottonwood,2,44.9479566,-123.0437337
2024-01-01,Black Cottonwood,2,44.9479567,-123.0434801
2024-01-01,Black Cottonwood,2,44.9479568,-123.0432266
2024-01-01,Bigleaf Maple,1,44.9479569,-123.0429731
2024-01-01,Bigleaf Maple,1,44.947957,-123.0427195
2024-01-01,Urban Street Tree,8,44.947958,-123.0401843
2024-01-01,Urban Street Tree,8,44.947958,-123.0399307
2024-01-01,Urban Street Tree,8,44.9479586,-123.0384096
2024-01-01,Urban Street Tree,8,44.9479595,-123.0356207
2024-01-01,Urban Street Tree,8,44.9479595,-123.0353672
2024-01-01,Urban Street Tree,8,44.9479599,-123.0340996
2024-01-01,Urban Street Tree,8,44.9477761,-123.0450012
2024-01-01,Urban Street Tree,8,44.9477763,-123.0444941
2024-01-01,Black Cottonwood,2,44.9477764,-123.0442406
2024-01-01,Black Cottonwood,2,44.9477765,-123.043987
2024-01-01,Black Cottonwood,2,44.9477766,-123.0437335
2024-01-01,Black Cottonwood,2,44.9477767,-123.04348
2024-01-01,Black Cottonwood,2,44.9477768,-123.0432265
2024-01-01,Oregon Ash,5,44.9477769,-123.0429729
2024-01-01,Urban Street Tree,8,44.9477778,-123.0404377
2024-01-01,Urban Street Tree,8,44.9477779,-123.0401841
2024-01-01,Urban Street Tree,8,44.9477795,-123.0353671
2024-01-01,Urban Street Tree,8,44.9477796,-123.0351136
2024-01-01,Urban Street Tree,8,44.9477797,-123.0348601
2024-01-01,Urban Street Tree,8,44.9475961,-123.045001
2024-01-01,Urban Street Tree,8,44.9475963,-123.044494
2024-01-01,Urban Street Tree,8,44.9475964,-123.0442404
2024-01-01,Urban Street Tree,8,44.9475965,-123.0439869
2024-01-01,Urban Street Tree,8,44.9475966,-123.0437334
2024-01-01,Black Cottonwood,2,44.9475967,-123.0434799
2024-01-01,Black Cottonwood,2,44.9475968,-123.0432263
2024-01-01,Black Cottonwood,2,44.9475969,-123.0429728
2024-01-01,Urban Street Tree,8,44.9475978,-123.0404375
2024-01-01,Urban Street Tree,8,44.9475979,-123.040184
2024-01-01,Urban Street Tree,8,44.9475995,-123.0351135
2024-01-01,Urban Street Tree,8,44.9475996,-123.0348599
2024-01-01,Urban Street Tree,8,44.9475998,-123.0343529
2024-01-01,Urban Street Tree,8,44.9475998,-123.0340994
2024-01-01,Urban Street Tree,8,44.947416,-123.0450009
2024-01-01,Urban Street Tree,8,44.9474163,-123.0442403
2024-01-01,Urban Street Tree,8,44.9474164,-123.0439868
2024-01-01,Urban Street Tree,8,44.9474165,-123.0437332
2024-01-01,Urban Street Tree,8,44.9474166,-123.0434797
2024-01-01,Urban Street Tree,8,44.9474167,-123.0432262
2024-01-01,Urban Street Tree,8,44.9474197,-123.0346063
2024-01-01,Urban Street Tree,8,44.9474197,-123.0343528
2024-01-01,Urban Street Tree,8,44.9474198,-123.0340993
2024-01-01,Urban Street Tree,8,44.947236,-123.0450007
2024-01-01,Urban Street Tree,8,44.9472364,-123.0439866
2024-01-01,Urban Street Tree,8,44.9472365,-123.0437331
2024-01-01,Black Cottonwood,2,44.9472366,-123.0434796
2024-01-01,Urban Street Tree,8,44.947056,-123.0450006
2024-01-01,Urban Street Tree,8,44.9470562,-123.0444935
2024-01-01,Urban Street Tree,8,44.9470563,-123.04424
2024-01-01,Urban Street Tree,8,44.9470563,-123.0439865
2024-01-01,Urban Street Tree,8,44.9470564,-123.043733
2024-01-01,Oregon Ash,5,44.9470565,-123.0434794
2024-01-01,Urban Street Tree,8,44.9470577,-123.0404372
2024-01-01,Urban Street Tree,8,44.9470584,-123.0381554
2024-01-01,Urban Street Tree,8,44.9470585,-123.0379019
2024-01-01,Urban Street Tree,8,44.9468759,-123.0450005
2024-01-01,Urban Street Tree,8,44.9468761,-123.0444934
2024-01-01,Urban Street Tree,8,44.9468762,-123.0442399
2024-01-01,Urban Street Tree,8,44.9468763,-123.0439864
2024-01-01,Urban Street Tree,8,44.9468764,-123.0437328
2024-01-01,Urban Street Tree,8,44.9468776,-123.040437
2024-01-01,Black Cottonwood,2,44.9466959,-123.0450003
2024-01-01,Urban Street Tree,8,44.946696,-123.0447468
2024-01-01,Urban Street Tree,8,44.9466961,-123.0444933
2024-01-01,Urban Street Tree,8,44.9466976,-123.0404369
2024-01-01,Urban Street Tree,8,44.9466993,-123.0351129
2024-01-01,Urban Street Tree,8,44.9465158,-123.0450002
2024-01-01,Urban Street Tree,8,44.9465159,-123.0447467
2024-01-01,Urban Street Tree,8,44.9465162,-123.0439861
2024-01-01,Urban Street Tree,8,44.9465163,-123.0437326
2024-01-01,Urban Street Tree,8,44.9465174,-123.0406903
2024-01-01,Urban Street Tree,8,44.9465193,-123.0351128
2024-01-01,Urban Street Tree,8,44.9465194,-123.0348593
2024-01-01,Urban Street Tree,8,44.9463373,-123.0409437
2024-01-01,Urban Street Tree,8,44.9463374,-123.0406902
2024-01-01,Urban Street Tree,8,44.9463379,-123.039169
2024-01-01,Urban Street Tree,8,44.946338,-123.0389155
2024-01-01,Urban Street Tree,8,44.9463395,-123.0343521
2024-01-01,Urban Street Tree,8,44.9461573,-123.0409436
2024-01-01,Urban Street Tree,8,44.9461579,-123.0391689
2024-01-01,Urban Street Tree,8,44.946158,-123.0389154
2024-01-01,Urban Street Tree,8,44.9461581,-123.0386619
2024-01-01,Urban Street Tree,8,44.9461582,-123.0384084
2024-01-01,Urban Street Tree,8,44.9461582,-123.0381548
2024-01-01,Urban Street Tree,8,44.9459757,-123.0449998
2024-01-01,Urban Street Tree,8,44.9459758,-123.0447462
2024-01-01,Urban Street Tree,8,44.9459759,-123.0444927
2024-01-01,Urban Street Tree,8,44.9459771,-123.041197
2024-01-01,Urban Street Tree,8,44.9459772,-123.0409434
2024-01-01,Urban Street Tree,8,44.9459778,-123.0394223
2024-01-01,Urban Street Tree,8,44.9459779,-123.0391688
2024-01-01,Urban Street Tree,8,44.945978,-123.0386618
2024-01-01,Urban Street Tree,8,44.9459781,-123.0384082
2024-01-01,Urban Street Tree,8,44.9459782,-123.0381547
2024-01-01,Urban Street Tree,8,44.9457957,-123.0449996
2024-01-01,Urban Street Tree,8,44.9457958,-123.0447461
2024-01-01,Oregon Ash,5,44.9457959,-123.0444926
2024-01-01,Urban Street Tree,8,44.9457971,-123.0411968
2024-01-01,Urban Street Tree,8,44.9457977,-123.0394222
2024-01-01,Urban Street Tree,8,44.9457978,-123.0391687
2024-01-01,Urban Street Tree,8,44.9457979,-123.0389152
2024-01-01,Urban Street Tree,8,44.945798,-123.0386616
2024-01-01,Urban Street Tree,8,44.9457981,-123.0384081
2024-01-01,Urban Street Tree,8,44.9457982,-123.0381546
2024-01-01,Urban Street Tree,8,44.9456156,-123.0449995
2024-01-01,Urban Street Tree,8,44.9456157,-123.044746
2024-01-01,Urban Street Tree,8,44.9456176,-123.0396756
2024-01-01,Urban Street Tree,8,44.9456177,-123.0394221
2024-01-01,Urban Street Tree,8,44.9456178,-123.0391686
2024-01-01,Urban Street Tree,8,44.9456179,-123.038915
2024-01-01,Urban Street Tree,8,44.945618,-123.0386615
2024-01-01,Urban Street Tree,8,44.945618,-123.038408
2024-01-01,Urban Street Tree,8,44.9456181,-123.0381545
2024-01-01,Urban Street Tree,8,44.9456182,-123.037901
2024-01-01,Urban Street Tree,8,44.9454369,-123.0414501
2024-01-01,Urban Street Tree,8,44.945437,-123.0411966
2024-01-01,Urban Street Tree,8,44.9454376,-123.0396755
2024-01-01,Urban Street Tree,8,44.9454377,-123.0394219
2024-01-01,Urban Street Tree,8,44.9454377,-123.0391684
2024-01-01,Urban Street Tree,8,44.9454379,-123.0386614
2024-01-01,Urban Street Tree,8,44.945438,-123.0384079
2024-01-01,Urban Street Tree,8,44.9454381,-123.0381544
2024-01-01,Urban Street Tree,8,44.9452569,-123.04145
2024-01-01,Urban Street Tree,8,44.945257,-123.0411964
2024-01-01,Urban Street Tree,8,44.9452577,-123.0391683
2024-01-01,Urban Street Tree,8,44.9452578,-123.0389148
2024-01-01,Urban Street Tree,8,44.9452579,-123.0386613
2024-01-01,Urban Street Tree,8,44.945258,-123.0384078
2024-01-01,Urban Street Tree,8,44.945258,-123.0381542
2024-01-01,Urban Street Tree,8,44.9450768,-123.0417033
2024-01-01,Urban Street Tree,8,44.9450769,-123.0414498
2024-01-01,Urban Street Tree,8,44.9450769,-123.0411963
2024-01-01,Urban Street Tree,8,44.9450778,-123.0386612
2024-01-01,Urban Street Tree,8,44.9448967,-123.0417032
2024-01-01,Urban Street Tree,8,44.944897,-123.0409427
2024-01-01,Urban Street Tree,8,44.9448971,-123.0406892
2024-01-01,Urban Street Tree,8,44.9447167,-123.0417031
2024-01-01,Urban Street Tree,8,44.9447169,-123.0411961
2024-01-01,Urban Street Tree,8,44.944717,-123.0409425
2024-01-01,Urban Street Tree,8,44.944717,-123.040689
2024-01-01,Urban Street Tree,8,44.9445369,-123.0409424
2024-01-01,Urban Street Tree,8,44.9443565,-123.0419563
2024-01-01,Urban Street Tree,8,44.9441764,-123.0422097
2024-01-01,Urban Street Tree,8,44.9441765,-123.0419562
2024-01-01,Urban Street Tree,8,44.9441766,-123.0417027
2024-01-01,Urban Street Tree,8,44.9439963,-123.0422096
2024-01-01,Urban Street Tree,8,44.9439964,-123.0419561
2024-01-01,Urban Street Tree,8,44.9439965,-123.0417026
2024-01-01,Urban Street Tree,8,44.9438162,-123.042463
2024-01-01,Urban Street Tree,8,44.9438163,-123.0422095
2024-01-01,Urban Street Tree,8,44.9438164,-123.0419559
2024-01-01,Urban Street Tree,8,44.9438165,-123.0417024
2024-01-01,Urban Street Tree,8,44.9436361,-123.0427163
2024-01-01,Urban Street Tree,8,44.9436362,-123.0424628
2024-01-01,Urban Street Tree,8,44.9436363,-123.0422093
2024-01-01,Urban Street Tree,8,44.9436363,-123.0419558
2024-01-01,Urban Street Tree,8,44.9436364,-123.0417023
2024-01-01,Urban Street Tree,8,44.9434559,-123.0429697
2024-01-01,Urban Street Tree,8,44.943456,-123.0427162
2024-01-01,Urban Street Tree,8,44.9434562,-123.0422092
2024-01-01,Urban Street Tree,8,44.9432759,-123.0429696
2024-01-01,Urban Street Tree,8,44.9432763,-123.0419555
2024-01-01,Urban Street Tree,8,44.9430958,-123.043223
2024-01-01,Urban Street Tree,8,44.9430958,-123.0429694
2024-01-01,Urban Street Tree,8,44.9430959,-123.0427159
2024-01-01,Urban Street Tree,8,44.943096,-123.0424624
2024-01-01,Urban Street Tree,8,44.9430961,-123.0422089
2024-01-01,Urban Street Tree,8,44.9430962,-123.0419554
2024-01-01,Urban Street Tree,8,44.9429156,-123.0434763
2024-01-01,Urban Street Tree,8,44.9429157,-123.0432228
2024-01-01,Urban Street Tree,8,44.9429158,-123.0429693
2024-01-01,Urban Street Tree,8,44.9429159,-123.0427158
2024-01-01,Urban Street Tree,8,44.942916,-123.0424623
2024-01-01,Urban Street Tree,8,44.9429161,-123.0422088
2024-01-01,Urban Street Tree,8,44.9429162,-123.0419553
2024-01-01,Urban Street Tree,8,44.9427356,-123.0434762
2024-01-01,Urban Street Tree,8,44.9427357,-123.0432227
2024-01-01,Urban Street Tree,8,44.9425555,-123.0434761
2024-01-01,Urban Street Tree,8,44.9425556,-123.0432225
2024-01-01,Urban Street Tree,8,44.9425557,-123.042969
2024-01-01,Urban Street Tree,8,44.9423754,-123.0437294
2024-01-01,Urban Street Tree,8,44.9423755,-123.0434759
2024-01-01,Urban Street Tree,8,44.9423756,-123.0432224
2024-01-01,Urban Street Tree,8,44.9421954,-123.0437293
2024-01-01,Urban Street Tree,8,44.9421955,-123.0434758
2024-01-01,Urban Street Tree,8,44.9420152,-123.0439826
2024-01-01,Urban Street Tree,8,44.9418352,-123.0439825
2024-01-01,Urban Street Tree,8,44.9418353,-123.043729
2024-01-01,Urban Street Tree,8,44.941655,-123.0442359
2024-01-01,Urban Street Tree,8,44.9414748,-123.0447427
2024-01-01,Urban Street Tree,8,44.9414749,-123.0444892
2024-01-01,Urban Street Tree,8,44.941475,-123.0442357
2024-01-01,Urban Street Tree,8,44.9412949,-123.0444891
2024-01-01,Urban Street Tree,8,44.9411148,-123.044489
2024-01-01,Urban Street Tree,8,44.9409346,-123.0449958
2024-01-01,Urban Street Tree,8,44.9409347,-123.0447423
2024-01-01,Urban Street Tree,8,44.9409348,-123.0444888
2024-01-01,Urban Street Tree,8,44.9407545,-123.0449957
2024-01-01,Urban Street Tree,8,44.9407546,-123.0447422
2024-01-01,Urban Street Tree,8,44.9407547,-123.0444887
2024-01-01,Corylus avellana,4,44.9407548,-123.0442352
2024-01-01,Urban Street Tree,8,44.9407549,-123.0439817
2024-01-01,Urban Street Tree,8,44.9407551,-123.0434747
2024-01-01,Urban Street Tree,8,44.9407552,-123.0432212
2024-01-01,Urban Street Tree,8,44.9407553,-123.0429677
2024-01-01,Urban Street Tree,8,44.9405745,-123.0449955
2024-01-01,Urban Street Tree,8,44.9405746,-123.044742
2024-01-01,Urban Street Tree,8,44.9405747,-123.0444885
2024-01-01,Urban Street Tree,8,44.9405748,-123.044235
2024-01-01,Urban Street Tree,8,44.9405749,-123.0439815
2024-01-01,Urban Street Tree,8,44.9405751,-123.0434746
2024-01-01,Urban Street Tree,8,44.9405752,-123.0432211
2024-01-01,Urban Street Tree,8,44.9405753,-123.0429676
2024-01-01,Urban Street Tree,8,44.9403946,-123.0447419
2024-01-01,Urban Street Tree,8,44.9403948,-123.0442349
2024-01-01,Urban Street Tree,8,44.9403949,-123.0439814
2024-01-01,Urban Street Tree,8,44.9403975,-123.0366301
2024-01-01,Urban Street Tree,8,44.9403975,-123.0363766
2024-01-01,Urban Street Tree,8,44.9402145,-123.0447418
2024-01-01,Urban Street Tree,8,44.9402148,-123.0439813
2024-01-01,Urban Street Tree,8,44.9402149,-123.0437278
2024-01-01,Urban Street Tree,8,44.9402173,-123.0368834
2024-01-01,Urban Street Tree,8,44.9402174,-123.0366299
2024-01-01,Urban Street Tree,8,44.9402175,-123.0363764
2024-01-01,Urban Street Tree,8,44.9400348,-123.0439811
2024-01-01,Urban Street Tree,8,44.9400349,-123.0437276
2024-01-01,Urban Street Tree,8,44.9400373,-123.0368833
2024-01-01,Urban Street Tree,8,44.9400374,-123.0366298
2024-01-01,Urban Street Tree,8,44.9400379,-123.0348554
2024-01-01,Urban Street Tree,8,44.940038,-123.0346019
